Designator,Val,Val2,"Mid X","Mid Y",Rotation,Layer,
"BT1","Battery_Cell","JLC_BAT-SMD_MY-1220-03",88.740000,-84.690000,180.000000,top
"BZ1","Buzzer","JLC_BUZ-SMD_4P-L8.5-W8.5_FUET-8530-05",60.375000,-46.900000,180.000000,top
"C1","4.7uF","C_0603_1608Metric",29.225000,-45.900000,180.000000,top
"C2","4.7uF","C_0603_1608Metric",39.025000,-83.915000,0.000000,top
"C3","1uF","C_0603_1608Metric",63.817000,-33.520000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",31.205000,-71.436000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",36.385000,-38.284000,270.000000,top
"C6","4.7pF","C_0603_1608Metric",43.125000,-63.580000,180.000000,top
"C7","4.7pF","C_0603_1608Metric",29.475000,-42.975000,90.000000,top
"C8","1uF","C_0603_1608Metric",52.133000,-32.442000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",52.133000,-35.490000,180.000000,top
"C10","100pF","C_0603_1608Metric",33.999000,-85.927000,90.000000,top
"C11","100pF","C_0603_1608Metric",29.527000,-34.728000,0.000000,top
"C12","1uF","C_0603_1608Metric",25.109000,-63.067000,90.000000,top
"C13","1uF","C_0603_1608Metric",25.375000,-45.850000,180.000000,top
"C14","1uF","C_0603_1608Metric",36.285000,-85.901000,90.000000,top
"C15","1uF","C_0603_1608Metric",34.112000,-34.728000,180.000000,top
"C16","10uF","C_0603_1608Metric",89.750000,-73.900000,0.000000,top
"C17","0.1uF","C_0603_1608Metric",88.201000,-67.761000,90.000000,top
"C18","100uF","CP_EIA-3528-15_AVX-H",46.799000,-38.284000,180.000000,top
"C19","1uF","C_0603_1608Metric",90.995000,-67.748000,90.000000,top
"C20","10uF","C_0603_1608Metric",51.850000,-65.475000,0.000000,top
"C21","22pF","C_0603_1608Metric",90.932000,-59.182000,270.000000,top
"C22","22pF","C_0603_1608Metric",88.900000,-59.182000,270.000000,top
"C23","0.1uF","C_0603_1608Metric",95.700000,-74.225000,90.000000,top
"C24","10uF","C_0603_1608Metric",44.005000,-34.220000,0.000000,top
"C25","10uF","C_0603_1608Metric",86.900000,-59.200000,270.000000,top
"C26","10uF","C_0603_1608Metric",47.511000,-34.070000,0.000000,top
